record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_1OH6rSO2ckgMsCUCc,8663909,new_entry,,,"","On February 25th, El Salvador banned the entry of foreigners coming from South Korea and Italy, building on the existing restriction on foreigners coming from China.",2020-02-25,2020-02-25,2023-07-11,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Italy,South Korea","One or more countries, but not all countries",,,,,,Foreign Travelers,,Inbound,Flights,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1H8NbklKr1Uj44z,https://www.infobae.com/america/agencias/2020/02/25/el-salvador-prohibe-el-ingreso-de-coreanos-e-italianos-por-coronavirus/,CoronaNet (original),,2021-05-15,2021-05-15T20:31:09Z
R_1dKAj44GXL1Bq8QCc,614367,update,End of Policy,,"","On January 31, the government of El Salvador banned the entry of people from China. UPDATE: The original border restriction was for national passengers and foreign diplomats arriving from China; El Salvador has extended the border restrictions to national passengers and diplomats arriving from South Korea and Italy.",2020-02-25,2020-02-25,2020-02-25,The policy has a clear end date,El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,China,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),,Inbound,"Flights,Not Applicable",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_10pHsJCo3krwGZb ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Ddk6wLVvxLypjkl,NA ; https://www.infobae.com/america/agencias/2020/02/25/el-salvador-prohibe-el-ingreso-de-coreanos-e-italianos-por-coronavirus/,CoronaNet (original),,2021-03-19,2021-03-19T01:02:26Z
R_BDOOy3jtLJQe63LCc,2416878,new_entry,,,"","El Salvador banned on February 28th the entry of travelers coming from Iran, adding to the existing bans on travelers coming from China, Italy, and South Korea.",2020-02-28,2020-02-28,,The policy’s end date is unknown or unreported,El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,Iran,"One or more countries, but not all countries",,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),,Inbound,"Flights,Not Applicable",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Bs3X9E2mIUN57uF,https://www.ntn24.com/america-latina/otros-paises/internacionales/otros-paises/piden-cerrar-el-parlamento-britanico-tras-registrarse-caso-de,CoronaNet (original),,2021-03-19,2021-03-19T01:20:41Z
R_zSI2KS2pQByO4wNCc,8663909,update,End of Policy,,"","On February 25th, El Salvador banned the entry of foreigners coming from South Korea and Italy, building on the existing restriction on foreigners coming from China. Nationals, residents and diplomats, accepted under a 15-day quarantine period. UPDATE: UPDATE: The original travel ban applied to foreign passengers arriving from China, South Korea and Italy; on February 28, it was extended to travelers arriving from Iran.",2020-02-28,2020-02-28,2020-02-28,The policy has a clear end date,El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Italy,South Korea","One or more countries, but not all countries",,,,,,Foreign Travelers,,Inbound,Flights,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1H8NbklKr1Uj44z ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rP0GExZ2Qo3HEg,NA ; https://www.reuters.com/article/us-china-health-el-salvador/el-salvador-widens-entry-restrictions-over-coronavirus-fears-idUSKCN20M356,CoronaNet (original),,2021-04-03,2021-04-03T23:53:28Z
R_2PimZ13bafRCTkGCc,3800316,new_entry,,,"","On March 09th, El Salvador Government banned the entry of people coming from Spain, Germany and France, adding to the existing bans on travelers coming from Iran, China, Italy, and South Korea.",2020-03-09,2020-03-09,2023-07-11,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,"France,Germany,Spain","One or more countries, but not all countries",,,,,,Foreign Travelers,,Inbound,"Flights,Not Applicable",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TI9RXXvyeZ8I0a,https://actualidad.rt.com/actualidad/348107-vida-centro-contencion-coronavirus-salvador-bukele,CoronaNet (original),,2021-05-15,2021-05-15T20:32:46Z
R_Cgj8qzPg14fjtwBGv,2313538,new_entry,,,"","El Salvador begins imposing restrictions on citizen and foreign travelers arriving from Guatemala, Nicaragua and Honduras. Now, people entering El Salvador are required to show their passport at the border in order to verify where they have been in the previous days. Previously, people arriving from Guatemala, Nicaragua, and Honduras only needed a DUI (Emisión del Documento Único de Identidad) to enter El Salvador.",2020-03-10,2020-03-10,2023-07-11,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Guatemala,Honduras,Nicaragua","One or more countries, but not all countries",,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hSeCxhbPrXh0QQ,https://www.elsalvador.com/noticias/nacional/coronavirus-nayib-bukele-medida-prevencion/694196/2020/,CoronaNet (original),,2021-05-15,2021-05-15T20:29:44Z
R_2fwwo917tRRE7RyGr,2852677,new_entry,,,"","On March 11, El Salvador's Government ordered via decree of the Council of Ministers the prohibition of entry of any foreigner who is not a resident ordiplomat from the Salvadoran territory, action that must be followed by the National Directorate of Migration and Aliens.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,Foreign Travelers,,Inbound,All kinds of transport,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Q0oYIYFSuhBZ4r,https://covid19.gob.sv/wp-content/uploads/2020/03/11M-CO-Primeras-medidas.pdf,CoronaNet (original),,2022-05-08,2022-05-08T20:35:41Z
R_3Jh23rYiwNhg8iXCz,1193477,new_entry,,,"","On March 11, 2020, Decree 13 established that the executive must guarantee the entrance of Salvadorans and foreigners in a vulnerable situation, contingent on negative test results and quarantine (for 30 days).",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Negative COVID-19 Test,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3L7QwJ3HeJkN5eH,https://dl.airtable.com/.attachments/ee60877a7c6ff445e7f54470854b918a/b6844cd3/ElSalvador_Mobilizationofdepartments_11March2020.pdf,COVIDAMP,COVIDAMP_77157,2022-06-20,2022-06-20T13:32:30Z
R_2rivgAzx5WUhICdGr,6102569,new_entry,,,"",It is prohibited for any foreignor who is not a resident or diplomat of the Salvadoran territory to enter the country.,2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Foreign Nationals (Foreign Residents + Foreign Travelers),No special population targeted,Inbound,Not Applicable,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2fpIU51wIWHXroh,https://covid19.gob.sv/11-03-2020-el-salvador-ante-la-pandemia-del-covid19/,COVIDAMP,COVIDAMP_60080,2023-06-28,2023-06-28T19:26:35Z
R_2dg51GzZqXWJrt2Cc,3800316,update,End of Policy,,"","On March 09th, El Salvador Government banned the entry of people coming from Spain, Germany and France, adding to the existing bans on travelers coming from Iran, China, Italy, and South Korea. UPDATE: The travel ban that applied to foreign passengers arriving from South Korea and Italy, Iran, France, Germany and Spain was expanded to all countries.",2020-03-11,2020-03-11,2020-03-11,The policy has a clear end date,El Salvador,SLV,SV,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,"France,Germany,Spain","One or more countries, but not all countries",,,,,,Foreign Travelers,,Inbound,"Flights,Not Applicable",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TI9RXXvyeZ8I0a ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_10P05BWcPtZ0Pij,NA ; https://elfaro.net/es/202003/el_salvador/24120/El-Salvador-cierra-fronteras-y-suspende-clases-por-21-d%C3%ADas-para-prevenir-contagios-de-coronavirus.htm,CoronaNet (original),,2021-04-10,2021-04-10T23:30:01Z
