init_country,init_prov,init_city,target_country_regions,target_country_exception,target_province,target_city,target_other,target_city_exceptions,event_description,type,target_who_what,travel_direction,travel_mechanism,date_announced,date_start,date_end,date_collected,date_published,link,title,author,Publication,date_published_2,link2,title2,author2,publication2
India,,,Germany,,,,,,"Additionally, the country is enforcing a two-week quarantine on all passengers, including Indian nationals, “arriving from or having visited China, Italy, Iran, Republic of Korea, France, Spain and Germany” after Feb. 15.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,,,03/21/20,3/20/20,https://www.nytimes.com/article/coronavirus-travel-restrictions.html,"Coronavirus Travel Restrictions, Across the Globe","Salcedo, Andrea; Cherelus, Gina",New York Times,,,,,
Japan,,,China,,Hubei Province,,,,Ban on travelers from Hubei province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,02/01/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,Government of Japan,,,,,
Japan,,,China,,Zhejiang Province,,,,Ban on travelers from Zhejiang province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,02/13/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,Government of Japan,,,,,
Japan,,,South Korea,,North Gyeongsang Province,Daegu City,,,Ban on travelers from Daegu City / Cheongdo County in North Gyeongsang Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,02/27/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,Government of Japan,,,,,
Japan,,,South Korea,,North Gyeongsang Province,,Cheongdo County,,"Ban on travelers from Gyeongsan / Andong / Yeongcheon City, Chilgok / Uiseong / Seongju / Gunwei County in North Gyeongsang Province",External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/07/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Kom Province,,,,Ban on travelers from Kom / Tehran / Gilan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/07/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Tehran Province,,,,Ban on travelers from Kom / Tehran / Gilan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/07/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Gilan Province,,,,Ban on travelers from Kom / Tehran / Gilan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/07/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Alborz Province,,,,Ban on travelers from Alborz / Isfahan / Qazvin / Golestan / Semnan / Mazandaran / Markazi / Lorestan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Isfahan Province,,,,Ban on travelers from Alborz / Isfahan / Qazvin / Golestan / Semnan / Mazandaran / Markazi / Lorestan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Qazvin Province,,,,Ban on travelers from Alborz / Isfahan / Qazvin / Golestan / Semnan / Mazandaran / Markazi / Lorestan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Golestan Province,,,,Ban on travelers from Alborz / Isfahan / Qazvin / Golestan / Semnan / Mazandaran / Markazi / Lorestan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Semnan Province,,,,Ban on travelers from Alborz / Isfahan / Qazvin / Golestan / Semnan / Mazandaran / Markazi / Lorestan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Mazandaran Province,,,,Ban on travelers from Alborz / Isfahan / Qazvin / Golestan / Semnan / Mazandaran / Markazi / Lorestan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Markazi Province,,,,Ban on travelers from Alborz / Isfahan / Qazvin / Golestan / Semnan / Mazandaran / Markazi / Lorestan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iran,,Lorestan Province,,,,Ban on travelers from Alborz / Isfahan / Qazvin / Golestan / Semnan / Mazandaran / Markazi / Lorestan Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Italy,,Veneto Province,,,,Ban on travelers from Veneto / Emilia-Romagna / Piedmont / Marche / Lombardy Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Italy,,Emilia-Romagna Province,,,,Ban on travelers from Veneto / Emilia-Romagna / Piedmont / Marche / Lombardy Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Italy,,Piedmont Province,,,,Ban on travelers from Veneto / Emilia-Romagna / Piedmont / Marche / Lombardy Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Italy,,March Province,,,,Ban on travelers from Veneto / Emilia-Romagna / Piedmont / Marche / Lombardy Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Italy,,Lombardy Province,,,,Ban on travelers from Veneto / Emilia-Romagna / Piedmont / Marche / Lombardy Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Italy,,Valle d'Aosta Province,,,,Ban on travelers from Valle d'Aosta / Trentino Alto Adige / Friuli Venezia Giulian / Ligurian Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Italy,,Trentino Alto Adige Province,,,,Ban on travelers from Valle d'Aosta / Trentino Alto Adige / Friuli Venezia Giulian / Ligurian Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Italy,,Friuli Venezia Guilian Province,,,,Ban on travelers from Valle d'Aosta / Trentino Alto Adige / Friuli Venezia Giulian / Ligurian Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Italy,,Ligurian Province,,,,Ban on travelers from Valle d'Aosta / Trentino Alto Adige / Friuli Venezia Giulian / Ligurian Province,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,San Marino,,,,,,Ban on all San marino,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/11/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Switzerland,,,,,,Ban on Canton of Ticino/Basel-Stadt,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/19/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Spain,,Navarre Province,,,,Ban on Navarre / Basque Country / Community of Madrid / La Rioja Provinces,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/19/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Spain,,Basque Country,,,,Ban on Navarre / Basque Country / Community of Madrid / La Rioja Provinces,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/19/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Spain,,Community of Madrid,,,,Ban on Navarre / Basque Country / Community of Madrid / La Rioja Provinces,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/19/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Spain,,La Rioja Provinces,,,,Ban on Navarre / Basque Country / Community of Madrid / La Rioja Provinces,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/19/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Iceland,,,,,,Ban on all regions Iceland,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/19/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,China,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/09/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Schengen Area,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Andorra,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Iran,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,United Kingdom,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Egypt,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Cyprus,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Croatia,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,San Marino,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Vatican,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Bulgaria,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Monaco,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan ,,,Romania,,,,,,"Visitors/Travelers (Including Japanese) arriving in Japan from following countries/regions will be asked to first stay at designated facilities for 14 days, and to avoid using any public transportation.",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/21/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,China,,,,,,By air: Arrival destinations for aircraft from mainland China and Republic of Korea will be limited to Tokyo Narita (NRT) and Osaka Kansai (KIX) international airports.,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,Flights,,03/09/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Korea,,,,,,By air: Arrival destinations for aircraft from mainland China and Republic of Korea will be limited to Tokyo Narita (NRT) and Osaka Kansai (KIX) international airports.,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,Flights,,03/09/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,China,,,,,,By sea: Ship transportation of passengers from China and Republic of Korea will be suspended.,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,Seaports,,03/09/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Japan,,,Korea,,,,,,By sea: Ship transportation of passengers from China and Republic of Korea will be suspended.,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,Seaports,,03/09/20,,03/21/20,3/21/20,https://www.japan.travel/en/coronavirus/,Coronavirus (COVID-19) advisory information,Government of Japan,,,,,,
Malaysia,,,All Countries,,,,,,"As of March 16, all foreign nationals, “with very limited exceptions,” are prohibited from entering or transiting through Malaysia until March 31, according to the United States Embassy in Malaysia. The date could be extended at the discretion of the Malaysian government.",External Border Restrictions,Foreign Traveler,Inbound,All Travel Mechanisms,,03/16/20,03/31/20,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,,,All Countries,,,,,,All passengers arriving from international destinations — including Malaysian citizens — must undergo 14 days of quarantine and a health inspection. ,Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,03/16/20,,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,,,Malaysia,,,,,,"From March 18 to March 31 the Malaysian government has implemented a general prohibition of movement and mass assembly within Malaysia including religious, sports, social and cultural activities. All houses of worship and business premises will be closed, except for supermarkets, public markets, grocery stores and stores and department stores selling everyday necessities. All schools and universities, both private and public, will also be closed. All government and private services except those involved in essential services such as water, electricity, power, telecommunications, postal, transportation, fuel, finance, banking, health, pharmacy, fire, port, airport, security, retail and food supply will also be closed. Interstate travel within Malaysia will be restricted and may require preapproval by the Royal Malaysian Police",Quarantine,NA,NA,All Travel Mechanisms,,03/18/20,03/31/20,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,,,Malaysia,,,,,,"From March 18 to March 31 the Malaysian government has implemented a general prohibition of movement and mass assembly within Malaysia including religious, sports, social and cultural activities. All houses of worship and business premises will be closed, except for supermarkets, public markets, grocery stores and stores and department stores selling everyday necessities. All schools and universities, both private and public, will also be closed. All government and private services except those involved in essential services such as water, electricity, power, telecommunications, postal, transportation, fuel, finance, banking, health, pharmacy, fire, port, airport, security, retail and food supply will also be closed. Interstate travel within Malaysia will be restricted and may require preapproval by the Royal Malaysian Police",Restriction of Mass Gatherings,NA,NA,All Travel Mechanisms,,03/18/20,03/31/20,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,,,Malaysia,,,,,,"From March 18 to March 31 the Malaysian government has implemented a general prohibition of movement and mass assembly within Malaysia including religious, sports, social and cultural activities. All houses of worship and business premises will be closed, except for supermarkets, public markets, grocery stores and stores and department stores selling everyday necessities. All schools and universities, both private and public, will also be closed. All government and private services except those involved in essential services such as water, electricity, power, telecommunications, postal, transportation, fuel, finance, banking, health, pharmacy, fire, port, airport, security, retail and food supply will also be closed. Interstate travel within Malaysia will be restricted and may require preapproval by the Royal Malaysian Police",Closure of schools,Residents ,NA,All Travel Mechanisms,,03/18/20,03/31/20,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,,,Malaysia,,,,,,"From March 18 to March 31 the Malaysian government has implemented a general prohibition of movement and mass assembly within Malaysia including religious, sports, social and cultural activities. All houses of worship and business premises will be closed, except for supermarkets, public markets, grocery stores and stores and department stores selling everyday necessities. All schools and universities, both private and public, will also be closed. All government and private services except those involved in essential services such as water, electricity, power, telecommunications, postal, transportation, fuel, finance, banking, health, pharmacy, fire, port, airport, security, retail and food supply will also be closed. Interstate travel within Malaysia will be restricted and may require preapproval by the Royal Malaysian Police",Restriction of Non-Essential Government Services,All Residents (Citizen Residents + Foreign Residents),NA,NA,,03/18/20,03/31/20,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,,,Malaysia,,,,,,"From March 18 to March 31 the Malaysian government has implemented a general prohibition of movement and mass assembly within Malaysia including religious, sports, social and cultural activities. All houses of worship and business premises will be closed, except for supermarkets, public markets, grocery stores and stores and department stores selling everyday necessities. All schools and universities, both private and public, will also be closed. All government and private services except those involved in essential services such as water, electricity, power, telecommunications, postal, transportation, fuel, finance, banking, health, pharmacy, fire, port, airport, security, retail and food supply will also be closed. Interstate travel within Malaysia will be restricted and may require preapproval by the Royal Malaysian Police",Restriction of Non-Essential Businessess,All Residents (Citizen Residents + Foreign Residents),NA,NA,,03/18/20,03/31/20,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,,,Malaysia,,,,,,"From March 18 to March 31 the Malaysian government has implemented a general prohibition of movement and mass assembly within Malaysia including religious, sports, social and cultural activities. All houses of worship and business premises will be closed, except for supermarkets, public markets, grocery stores and stores and department stores selling everyday necessities. All schools and universities, both private and public, will also be closed. All government and private services except those involved in essential services such as water, electricity, power, telecommunications, postal, transportation, fuel, finance, banking, health, pharmacy, fire, port, airport, security, retail and food supply will also be closed. Interstate travel within Malaysia will be restricted and may require preapproval by the Royal Malaysian Police",Internal Border Restrictions,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,Land Border,,03/18/20,03/31/20,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,Sabah,,China,,,,,,The state of Sabah has canceled all flights from China and South Korea. ,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,Flights,,,,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,Sabah,,China,,,,,, Sabah has imposed temporary restrictions on all foreign nationals and non-Sabah residents from entering the states. Long term visa holders may be admitted but will be required to self-quarantine at home for 14 days.,External Border Restrictions,Foreign Traveler,Inbound,All Travel Mechanisms,,,,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,Sabah,,China,,,,,, Sabah has imposed temporary restrictions on all foreign nationals and non-Sabah residents from entering the states. Long term visa holders may be admitted but will be required to self-quarantine at home for 14 days.,Quarantine,Other: Permanent Residents,Inbound,All Travel Mechanisms,,,,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,Sarawak,,China,,,,,,The state of Sarawak has canceled all flights from China. ,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,Flights,,,,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,Sarawak,,China,,,,,,Sarawak has imposed temporary restrictions on all foreign nationals and non-Sarawak residents. Long term visa holders may be admitted but will be required to self-quarantine at home for 14 days.,External Border Restrictions,Foreign Traveler,Inbound,All Travel Mechanisms,,,,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,Sarawak,,China,,,,,,Sarawak has imposed temporary restrictions on all foreign nationals and non-Sarawak residents. Long term visa holders may be admitted but will be required to self-quarantine at home for 14 days.,Quarantine,Other: Permanent Residents,Inbound,All Travel Mechanisms,,,,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Malaysia,,,All Countries,,,,,,Travelers presenting fevers or other symptoms may be subject to quarantine.  Malaysia has designated specific hospitals in each state to process suspected or confirmed COVID-19 cases. Quarantine will generally last 14 days. Asymptomatic passengers otherwise considered high risk may be asked to self-quarantine at home for 14 days. ,Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,,,,03/21/20,NA,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,COVID-19 Information,U.S. Embassy in Malaysia,,,,,,
Myanmar,,,China,,Hubei Province,,,,"On March 15, Myanmar restricted entry by foreign travelers who in the last 14 days visited the Hubei Province in China or the Daegu and Gyeongbuk regions in South Korea, according to the country’s United States embassy. ",External Border Restrictions,Foreign Traveler,Inbound,All Travel Mechanisms,,03/15/20,,03/21/20,3/20/20,https://www.nytimes.com/article/coronavirus-travel-restrictions.html,"Coronavirus Travel Restrictions, Across the Globe","Salcedo, Andrea; Cherelus, Gina",,,,,,
Myanmar,,,South Korea,,Daegu Province,,,,"On March 15, Myanmar restricted entry by foreign travelers who in the last 14 days visited the Hubei Province in China or the Daegu and Gyeongbuk regions in South Korea, according to the country’s United States embassy. ",External Border Restrictions,Foreign Traveler,Inbound,All Travel Mechanisms,,03/15/20,,03/21/20,3/20/20,https://www.nytimes.com/article/coronavirus-travel-restrictions.html,"Coronavirus Travel Restrictions, Across the Globe","Salcedo, Andrea; Cherelus, Gina",,,,,,
Myanmar,,,South Korea,,Gyeongbuk Province,,,,"On March 15, Myanmar restricted entry by foreign travelers who in the last 14 days visited the Hubei Province in China or the Daegu and Gyeongbuk regions in South Korea, according to the country’s United States embassy. ",External Border Restrictions,Foreign Traveler,Inbound,All Travel Mechanisms,,03/15/20,,03/21/20,3/20/20,https://www.nytimes.com/article/coronavirus-travel-restrictions.html,"Coronavirus Travel Restrictions, Across the Globe","Salcedo, Andrea; Cherelus, Gina",,,,,,
