init_country,init_prov,init_city,target_country_regions,target_country_exception,target_province,target_city,target_other,target_city_exceptions,event_description,type,target_who_what,travel_direction,travel_mechanism,date_announced,date_start,date_end,date_collected,date_published,link,title,author,Publication,date_published_2,link2,title2,author2,publication2
Taiwan,,,Italy,,Milan,,,,Eva Airways postpones direct services to Milan,External Border Restrictions,All (Travelers + Residents),Inbound/Outbound,Flights,2/6/20,02/18/20,,03/21/20,2/6/20,https://focustaiwan.tw/business/202002060022,"EVA Air postpones new routes to Milan, Phuket due to epidemic","Lee, Hsin-yin",Focus Taiwan,,,,,
Taiwan,,,Thailand,,Phuket,,,,Eva Airways postpones new direct flights to Phuket,External Border Restrictions,All (Travelers + Residents),Inbound/Outbound,Flights,2/6/20,04/02/20,,03/21/20,2/6/20,https://focustaiwan.tw/business/202002060022,"EVA Air postpones new routes to Milan, Phuket due to epidemic","Lee, Hsin-yin",Focus Taiwan,,,,,
Taiwan,,,China,,,,,"Beijing, Chengdu, Shanghai Honqioa, Shanghia Pu Dong, Xiamen","Taiwan reduces all flights to China except to Beijing, Chengdu, Shanghai Honqioa, Shanghia Pu Dong, Xiamen",External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Outbound,Flights,2/8/20,02/10/20,04/30/20,03/21/20,2/12/20,https://www.routesonline.com/news/38/airlineroute/289492/china-taiwan-feb-apr-2020-cross-strait-service-changes-as-of-11feb20/,China / Taiwan Feb - Apr 2020 Cross-Strait service changes as of 11FEB20,"Liu, Jim",Routes online,,,,,
Philippines,,,Taiwan,,,,,,Phillipines issues travel restrictions to Taiwan; lifts restrictions on Feb 14,External Border Restrictions,All Travelers  (Citizen Travelers + Foreign Travelers),Outbound,Flights,2/10/20,02/11/20,02/14/20,03/21/20,2/11/20,https://www.routesonline.com/news/38/airlineroute/289484/filipino-carriers-suspends-taiwan-service-from-11feb20/?highlight=taiwan,Filipino carriers suspends Taiwan service from 11FEB20,"Liu, Jim",Routes online,2/14/20,https://cnnphilippines.com/news/2020/2/14/Taiwan-travel-ban-lifted.html,Philippines lifts Taiwan travel ban,Danielle Nakpil,CNN Philippines
Taiwan,,,Austria,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Belgium,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Czech Republic,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Denmark,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Estonia,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Finland,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
