RecordedDate,record_id,ra_name,event_description,sources_matrix_1_1,correct_date_1,sources_matrix_1_2,sources_matrix_2_1,correct_date_2,sources_matrix_2_2
Date Entry is recorded,Record ID,RA Name,Description of the event,Original date of first source,Correct for date of first source,URL of first source,Date of second source,Correct date of second source,URL of second source
3/29/20 10:44,3377470,Niklas Illenseer,"On February 26, it was announced that Liechtenstein is prepared for the coronavirus and methods of disease prevention were made public.",3/29/20,2/26/20,https://www.regierung.li/media/attachments/80-coronavirus.pdf?t=637206550288692988,NA,,NA
3/29/20 13:42,8772657,Niklas Illenseer,"On March 16, 2020, Liechtenstein further prohibits private and public events and gatherings of more than 5 people.",3/29/20,3/16/20,https://www.regierung.li/media/attachments/120-corona-massnahmen-verschaerft-0316.pdf?t=637211145608019099,NA,,NA
3/29/20 14:00,6227030,Niklas Illenseer,"In Liechtenstein, as of March 16, 2020, the following measures are in effect: Public and private museums, libraries, courses and educational training workshops, casinos, sports centers, fitness centers, gyms, wellness centers, youth centers, public baths, and the cable railway Malbun will be closed.",3/29/20,3/16/20,https://www.regierung.li/media/attachments/120-corona-massnahmen-verschaerft-0316.pdf?t=637211145608019099,NA,,NA
3/29/20 14:04,4620779,Niklas Illenseer,"In Liechtenstein, as of March 17, 2020, restaurants, bars, and clubs will be closed. Exceptions are company canteens, takeaways, deliveries from restaurants, pizza couriers and the like.",3/29/20,3/16/20,https://www.regierung.li/media/attachments/120-corona-massnahmen-verschaerft-0316.pdf?t=637211145608019099,NA,,NA
3/29/20 14:10,2175706,Niklas Illenseer,"On March 18, 2020, Liechtenstein implemented an information hotline.",3/29/20,3/18/20,https://www.regierung.li/media/attachments/131-corona-hotline-0318.pdf?t=637211145608019099,NA,,NA
3/31/20 3:30,9010893,Niklas Illenseer,"From March 4, 2020, France has banned all gatherings of more than 5000 people in confined spaces extended at least until May 31, 2020.",3/31/20,3/5/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041686833&dateTexte=&categorieLien=id,NA,,NA
3/31/20 3:37,7128809,Niklas Illenseer,"From March 9, 2020, France has banned all gatherings of more than 1000 people in confined spaces at least until April 15, 2020.",3/31/20,3/10/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041704203&fastPos=46&fastReqId=86018114&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 3:40,5077477,Niklas Illenseer,"As of March 15, 2020, France closed all non-essential public spaces and non-essential businesses, including stores, cafes and restaurants. Exceptions are pharmacies, banks, supermarkets, gas stations, tobacconists, and press offices.",3/31/20,3/15/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041722917&fastPos=41&fastReqId=86018114&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 3:43,523889,Niklas Illenseer,"From March 13, 2020, France has banned all gatherings of more than 100 people.",3/31/20,3/14/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041721916&fastPos=43&fastReqId=86018114&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 3:46,3406421,Niklas Illenseer,"From March 9, 2020, France has banned all gatherings of more than 1000 people at least until April 15, 2020",3/31/20,3/10/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041704203&fastPos=46&fastReqId=86018114&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 3:49,4228776,Niklas Illenseer,"In France, as of March 17, 2020, 12 PM, a curfew for all residents with few exceptions for at least 2 weeks is put in place.",3/31/20,3/17/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041728476&fastPos=38&fastReqId=1309777692&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 3:54,5557866,Niklas Illenseer,"In France, as of March 27, 2020, the curfew for all residents with few exceptions is extended to last at least until April 15, 2020.",3/31/20,3/28/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041762421&fastPos=9&fastReqId=1309777692&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 11:31,2422565,Niklas Illenseer,"From March 17, 2020, France announced that ""Nationals of other countries [...] cannot enter France in the next 30 days, although there are exceptions for those who reside permanently in France"". This does not affect the exit from national territory.",3/31/20,3/18/20,https://www.diplomatie.gouv.fr/en/coming-to-france/coronavirus-advice-for-visitors-to-france/coronavirus-statements/article/statement-by-jean-yves-le-drian-minister-for-europe-and-foreign-affairs,NA,,NA
3/31/20 11:43,341640,Niklas Illenseer,"From March 3, 2020, France has ordered the requisition of ""The stocks of FFP2 type respiratory protection masks held by any legal person under public or private law; the stocks of anti-splash masks held by the companies which manufacture or distribute them; FFP2 type respiratory protection masks and anti-spray masks produced between the publication of this decree and May 31, 2020"" until May 31, 2020.",3/31/20,3/4/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041679951&fastPos=49&fastReqId=86018114&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 14:41,6046136,Niklas Illenseer,"On March 6, 2020, France allowed the preparation of hydro-alcoholic solutions intended for human hygiene by pharmacies and pharmacies in the event of a shortage of supply.",3/31/20,3/7/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041697131&fastPos=47&fastReqId=86018114&categorieLien=id&oldAction=rechTexte,NA,,NA
3/31/20 14:46,9228473,Niklas Illenseer,"On March 19, 2020, France lifted ""bans on the movement of goods transport vehicles over 7.5 tonnes total weight authorized laden at certain times"" until April 20, 2020.",3/31/20,3/21/20,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041741010&fastPos=35&fastReqId=1309777692&categorieLien=id&oldAction=rechTexte,NA,,NA
