date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200326,AK,59,1801,,3,1,1860,2020-03-26T20:00:00Z,1860,0,2,152,17,169
20200326,AL,506,3593,,,1,4099,2020-03-26T20:00:00Z,4099,1,0,1064,223,1287
20200326,AR,335,1504,0,41,3,1839,2020-03-26T20:00:00Z,1839,1,19,67,55,122
20200326,AS,0,,,,0,0,2020-03-26T20:00:00Z,0,0,0,0,0,0
20200326,AZ,577,347,33,66,8,957,2020-03-26T20:00:00Z,924,2,58,24,127,151
20200326,CA,3006,17380,57400,,65,77786,2020-03-26T20:00:00Z,20386,12,0,1459,651,2110
20200326,CO,1086,6978,,148,19,8064,2020-03-26T20:00:00Z,8064,8,64,189,174,363
20200326,CT,1012,5625,,125,21,6637,2020-03-26T20:00:00Z,6637,2,12,602,137,739
20200326,DC,231,1626,1,,3,1858,2020-03-26T20:00:00Z,1857,1,0,203,48,251
20200326,DE,130,36,,13,1,166,2020-03-26T20:00:00Z,166,1,2,0,15,15
20200326,FL,2355,23741,1443,406,28,27539,2020-03-26T20:00:00Z,26096,6,90,8367,673,9040
20200326,GA,1525,7401,,473,48,8926,2020-03-26T20:00:00Z,8926,8,79,2469,278,2747
20200326,GU,45,263,,11,1,308,2020-03-26T20:00:00Z,308,0,1,30,8,38
20200326,HI,95,4357,,5,,4452,2020-03-26T20:00:00Z,4452,0,-1,0,5,5
20200326,IA,179,2578,,46,1,2757,2020-03-26T20:00:00Z,2757,0,10,0,34,34
20200326,ID,123,2065,,,0,2188,2020-03-26T20:00:00Z,2188,0,0,178,50,228
20200326,IL,2538,14093,,,26,16631,2020-03-26T20:00:00Z,16631,7,0,1749,673,2422
20200326,IN,645,4006,,,17,4651,2020-03-26T20:00:00Z,4651,3,0,1127,168,1295
20200326,KS,168,2869,,,3,3037,2020-03-26T20:00:00Z,3037,0,0,509,42,551
20200326,KY,198,3102,,,4,3300,2020-03-26T20:00:00Z,3300,0,0,237,41,278
20200326,LA,2305,15724,,676,83,18029,2020-03-26T20:00:00Z,18029,18,185,6068,510,6578
20200326,MA,2417,21204,,219,25,23621,2020-03-26T20:00:00Z,23621,10,116,3248,579,3827
20200326,MD,580,94,,132,4,674,2020-03-26T20:00:00Z,674,0,132,0,157,157
20200326,ME,155,3394,,,,3549,2020-03-26T20:00:00Z,3549,0,0,217,6,223
20200326,MI,2856,6550,,,60,9406,2020-03-26T20:00:00Z,9406,17,0,4481,562,5043
20200326,MN,346,12604,,41,2,12950,2020-03-26T20:00:00Z,12950,1,6,1416,59,1475
20200326,MO,502,369,,,8,871,2020-03-26T20:00:00Z,871,0,0,0,146,146
20200326,MP,0,,,,0,0,2020-03-26T20:00:00Z,0,0,0,0,0,0
20200326,MS,485,2291,,150,6,2776,2020-03-26T20:00:00Z,2776,4,33,725,108,833
20200326,MT,71,2128,,1,,2199,2020-03-26T20:00:00Z,2199,0,1,180,18,198
20200326,NC,636,12274,,29,2,12910,2020-03-26T20:00:00Z,12910,1,0,2289,132,2421
20200326,ND,52,2039,,10,0,2091,2020-03-26T20:00:00Z,2091,0,2,305,13,318
20200326,NE,73,1584,,,0,1657,2020-03-26T20:00:00Z,1657,0,0,280,12,292
20200326,NH,137,3001,712,19,1,3850,2020-03-26T20:00:00Z,3138,0,6,645,29,674
20200326,NJ,6876,13661,,,81,20537,2020-03-26T20:00:00Z,20537,19,0,3209,2474,5683
20200326,NM,112,7681,,,1,7793,2020-03-26T20:00:00Z,7793,0,0,939,12,951
20200326,NV,420,4697,,,10,5117,2020-03-26T20:00:00Z,5117,4,0,446,99,545
20200326,NY,37258,84846,,6844,385,122104,2020-03-26T20:00:00Z,122104,100,3039,12178,6447,18625
